gid,id,team,d_seq,d_pos,stattype,d_ifouts,d_po,d_a,d_e,d_dp,d_tp,d_pb,d_wp,d_sb,d_cs,d_gs,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
CIN202403280,pagae001,CIN,1,1,value,3,0,0,0,0,0,,,,,0,20240328,0,CIN09,h,WAS,1,0,0,regular,y,y
CIN202403280,suteb001,CIN,1,1,value,6,0,0,0,0,0,,,,,0,20240328,0,CIN09,h,WAS,1,0,0,regular,y,y
CIN202403280,indij001,CIN,1,4,value,27,2,4,0,0,0,,,,,1,20240328,0,CIN09,h,WAS,1,0,0,regular,y,y
CIN202403280,bensw001,CIN,1,8,value,27,3,0,0,0,0,,,,,1,20240328,0,CIN09,h,WAS,1,0,0,regular,y,y
CIN202403280,encac001,CIN,1,3,value,27,6,1,0,0,0,,,,,1,20240328,0,CIN09,h,WAS,1,0,0,regular,y,y
CIN202403280,candj002,CIN,1,5,value,27,1,0,0,0,0,,,,,1,20240328,0,CIN09,h,WAS,1,0,0,regular,y,y
CIN202403280,fralj001,CIN,1,9,value,27,0,1,0,0,0,,,,,1,20240328,0,CIN09,h,WAS,1,0,0,regular,y,y
CIN202403280,delae003,CIN,1,6,value,27,4,2,1,0,0,,,,,1,20240328,0,CIN09,h,WAS,1,0,0,regular,y,y
CIN202403280,stees001,CIN,1,7,value,27,1,0,0,0,0,,,,,1,20240328,0,CIN09,h,WAS,1,0,0,regular,y,y
CIN202403280,stept001,CIN,1,2,value,27,9,0,0,0,0,0,0,0,0,1,20240328,0,CIN09,h,WAS,1,0,0,regular,y,y
HOU202403280,cortn001,NYA,1,1,value,15,1,1,0,0,0,,,,,1,20240328,0,HOU03,v,HOU,1,0,0,regular,y,y
HOU202403280,loaij001,NYA,1,1,value,6,0,1,0,0,0,,,,,0,20240328,0,HOU03,v,HOU,1,0,0,regular,y,y
HOU202403280,hamii001,NYA,1,1,value,3,0,0,0,0,0,,,,,0,20240328,0,HOU03,v,HOU,1,0,0,regular,y,y
HOU202403280,holmc001,NYA,1,1,value,3,0,0,0,0,0,,,,,0,20240328,0,HOU03,v,HOU,1,0,0,regular,y,y
